what,where,why,how,when,text,id
encrypts,victim files,,using RSA-2048 encryption,,SamSam encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., T1486 
using,RSA-2048 encryption,,,,SamSam encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., T1486 
demands,SamSam,,,,SamSam encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., T1486 
paid,ransom,,Bitcoin,,SamSam encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., T1486 
decrypt,files,,,,SamSam encrypts victim files using RSA-2048 encryption and demands a ransom be paid in Bitcoin to decrypt those files., T1486 
encrypting,data,,,,Shamoon has an operational mode for encrypting data instead of overwriting it., T1486 
overwriting,,,,,Shamoon has an operational mode for encrypting data instead of overwriting it., T1486 
encrypts,victims machine,,followed asking victim pay ransom,,SynAck encrypts the victims machine followed by asking the victim to pay a ransom., T1486 
followed,asking victim pay ransom,,,,SynAck encrypts the victims machine followed by asking the victim to pay a ransom., T1486 
asking,pay ransom,,,,SynAck encrypts the victims machine followed by asking the victim to pay a ransom., T1486 
pay,ransom,,,,SynAck encrypts the victims machine followed by asking the victim to pay a ransom., T1486 
used,"wide variety ransomware , Locky , Jaff , Bart , Philadelphia , GlobeImposter ,",encrypt victim files demand ransom payment,,,"TA505 has used a wide variety of ransomware, such as Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment.", T1486 
encrypt,victim files,,,,"TA505 has used a wide variety of ransomware, such as Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment.", T1486 
demand,ransom payment,,,,"TA505 has used a wide variety of ransomware, such as Locky, Jaff, Bart, Philadelphia, and GlobeImposter, to encrypt victim files and demand a ransom payment.", T1486 
encrypts,user files,,,,WannaCry encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., T1486 
demands,WannaCry,,,,WannaCry encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., T1486 
paid,ransom,,Bitcoin,,WannaCry encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., T1486 
decrypt,files,,,,WannaCry encrypts user files and demands that a ransom be paid in Bitcoin to decrypt those files., T1486 
encrypted,victim 's database systems,,maliciously,,Xbash has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid., T1486 
demanded,cryptocurrency ransom paid,,,,Xbash has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid., T1486 
paid,cryptocurrency ransom,,,,Xbash has maliciously encrypted victim's database systems and demanded a cryptocurrency ransom be paid., T1486 
check,permissions cloud storage,ensure proper permissions set deny open unprivileged access resources,,,Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources., T1530 
ensure,proper permissions set deny open unprivileged access resources,,,,Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources., T1530 
set,proper permissions,deny open unprivileged access resources,,,Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources., T1530 
deny,open unprivileged access resources,,,,Frequently check permissions on cloud storage to ensure proper permissions are set to deny open or unprivileged access to resources., T1530 
,,,rest,,Encrypt data stored at rest in cloud storage., T1530 
Managed,encryption keys,,,,Managed encryption keys can be rotated by most providers., T1530 
rotated,Managed encryption keys,,,,Managed encryption keys can be rotated by most providers., T1530 
ensure,incident response plan storage breach includes rotating keys,,,,"At a minimum, ensure an incident response plan to storage breach includes rotating the keys and test for impact on client applications.", T1530 
includes,rotating keys test impact client applications,incident response plan storage breach,,,"At a minimum, ensure an incident response plan to storage breach includes rotating the keys and test for impact on client applications.", T1530 
rotating,keys,,,,"At a minimum, ensure an incident response plan to storage breach includes rotating the keys and test for impact on client applications.", T1530 
support,IP based restrictions,,,,Cloud service providers support IP-based restrictions when accessing cloud resources., T1530 
based,restrictions,,,,Cloud service providers support IP-based restrictions when accessing cloud resources., T1530 
accessing,cloud resources,,,,Cloud service providers support IP-based restrictions when accessing cloud resources., T1530 
Consider,using IP whitelisting along user account management ensure data access restricted valid users expected IP ranges mitigate use stolen credentials access data,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
using,IP whitelisting along user account management,ensure data access restricted valid users expected IP ranges mitigate use stolen credentials access data,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
ensure,data access restricted valid users expected IP ranges mitigate use stolen credentials access data,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
restricted,data access,valid users expected IP ranges,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
expected,IP ranges,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
ranges,IP,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
mitigate,use stolen credentials access data,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
stolen,credentials,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
access,data,,,,Consider using IP whitelisting along with user account management to ensure that data access is restricted not only to valid users but only from expected IP ranges to mitigate the use of stolen credentials to access data., T1530 
Consider,using multi factor authentication restrict access resources cloud storage APIs,,,,Consider using multi-factor authentication to restrict access to resources and cloud storage APIs., T1530 
using,multi factor authentication,restrict access resources cloud storage APIs,,,Consider using multi-factor authentication to restrict access to resources and cloud storage APIs., T1530 
restrict,access resources cloud storage APIs,,,,Consider using multi-factor authentication to restrict access to resources and cloud storage APIs., T1530 
cloud,storage,,,,Consider using multi-factor authentication to restrict access to resources and cloud storage APIs., T1530 
Use,access control lists,,,,Use access control lists on storage systems and objects., T1530 
cloud,storage,,,,Configure user permissions groups and roles for access to cloud storage., T1530 
Implement,strict Identity Access Management controls,"prevent access storage solutions except applications , users , services require access",,,"Implement strict Identity and Access Management   controls to prevent access to storage solutions except for the applications, users, and services that require access.", T1530 
controls,Identity Access Management,,strict,,"Implement strict Identity and Access Management   controls to prevent access to storage solutions except for the applications, users, and services that require access.", T1530 
prevent,access storage solutions,,,,"Implement strict Identity and Access Management   controls to prevent access to storage solutions except for the applications, users, and services that require access.", T1530 
require,access,,,,"Implement strict Identity and Access Management   controls to prevent access to storage solutions except for the applications, users, and services that require access.", T1530 
Ensure,temporary access tokens issued rather permanent credentials,,,,"Ensure that temporary access tokens are issued rather than permanent credentials, especially when access is being granted to entities outside of the internal security boundary.", T1530 
issued,temporary access tokens,,,,"Ensure that temporary access tokens are issued rather than permanent credentials, especially when access is being granted to entities outside of the internal security boundary.", T1530 
granted,access,entities outside internal security boundary,,,"Ensure that temporary access tokens are issued rather than permanent credentials, especially when access is being granted to entities outside of the internal security boundary.", T1530 
collected,information,,,,APT28 has collected information from Microsoft SharePoint services within target networks., T1213 
used,SharePoint enumeration data dumping tool known spwebmember,,,,Ke3chang used a SharePoint enumeration and data dumping tool known as spwebmember., T1213 
known,SharePoint enumeration data dumping tool,,,,Ke3chang used a SharePoint enumeration and data dumping tool known as spwebmember., T1213 
used,spwebmember,enumerate dump information Microsoft SharePoint,,,spwebmember is used to enumerate and dump information from Microsoft SharePoint., T1213 
enumerate,information Microsoft SharePoint,,,,spwebmember is used to enumerate and dump information from Microsoft SharePoint., T1213 
dump,information,,,,spwebmember is used to enumerate and dump information from Microsoft SharePoint., T1213 
collected,files,,,,APT1 has collected files from a local victim., T1005 
retrieved,internal documents,,including using Forfiles stage documents,,"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before.", T1005 
including,using Forfiles stage documents,,,,"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before.", T1005 
using,Forfiles,stage documents,,,"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before.", T1005 
stage,documents,,,,"APT28 has retrieved internal documents from machines inside victim environments, including by using Forfiles to stage documents before.", T1005 
identify,Microsoft Office documents victim 's computer,,,,APT3 will identify Microsoft Office documents on the victim's computer., T1005 
collected,data,,,,APT37 has collected data from victims' local systems., T1005 
starts,,,,,"When it first starts, BADNEWS crawls the victim's local drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1005 
crawls,victim 's local drives,,,,"When it first starts, BADNEWS crawls the victim's local drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1005 
collects,BADNEWS,,,,"When it first starts, BADNEWS crawls the victim's local drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1005 
following,extension,,,,"When it first starts, BADNEWS crawls the victim's local drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1005 
collects,following extensions,,,,"BadPatch collects files from the local system that have the following extensions, then prepares them for exfiltratio   ,  x,  ,  ,  ,  ,  ,  x.", T1005 
prepares,,,,,"BadPatch collects files from the local system that have the following extensions, then prepares them for exfiltratio   ,  x,  ,  ,  ,  ,  ,  x.", T1005 
collects,files,,,,Bankshot collects files from the local system., T1005 
exfiltrated,files stolen local systems,,,,BRONZE BUTLER has exfiltrated files stolen from local systems., T1005 
stolen,files,,,,BRONZE BUTLER has exfiltrated files stolen from local systems., T1005 
collect,data,,,,Calisto can collect data from user directories., T1005 
upload,local files,,,,China Chopper's server component can upload local files., T1005 
collect,data,,,,Cobalt Strike can collect data from a local system., T1005 
steals,user files,,file extensions match predefined list,,CosmicDuke steals user files from local hard drives with file extensions that match a predefined list., T1005 
user,files,,,,CosmicDuke steals user files from local hard drives with file extensions that match a predefined list., T1005 
match,predefined list,,,,CosmicDuke steals user files from local hard drives with file extensions that match a predefined list., T1005 
collected,complete contents ' Pictures ' folder,,,,Dark Caracal collected complete contents of the 'Pictures' folder from compromised Windows systems., T1005 
compromised,Windows systems,,,,Dark Caracal collected complete contents of the 'Pictures' folder from compromised Windows systems., T1005 
collected,data,,,,Dragonfly 2.0 collected data from local victim systems., T1005 
used,Android backdoors capable exfiltrating specific files directly infected devices,,,,Dust Storm has used Android backdoors capable of exfiltrating specific files directly from the infected devices., T1005 
exfiltrating,specific files,,directly,,Dust Storm has used Android backdoors capable of exfiltrating specific files directly from the infected devices., T1005 
infected,devices,,,,Dust Storm has used Android backdoors capable of exfiltrating specific files directly from the infected devices., T1005 
scan,"My Recent Documents , Desktop , Temporary Internet Files , TEMP directories",,,,"FLASHFLOOD will scan the My Recent Documents, Desktop, Temporary Internet Files, and TEMP directories.", T1005 
collects,information stored Windows Address Book,,,,FLASHFLOOD also collects information stored in the Windows Address Book., T1005 
stored,information,,,,FLASHFLOOD also collects information stored in the Windows Address Book., T1005 
used,Forfiles,act,,,Forfiles can be used to act on, T1005 
act,,,,,Forfiles can be used to act on, T1005 
steals,GravityRAT,,,,"GravityRAT steals files with the following extension   x,  ,  x,  ,  x,  ,  , and  .", T1005 
following,extension,,,,"GravityRAT steals files with the following extension   x,  ,  x,  ,  x,  ,  , and  .", T1005 
collects,data,,,,Honeybee collects data from the local victim system., T1005 
creates,backdoor remote attackers read data files,,,,Hydraq creates a backdoor through which remote attackers can read data from files., T1005 
read,data,,backdoor,,Hydraq creates a backdoor through which remote attackers can read data from files., T1005 
collect,data,,,,Ixeshe can collect data from a local system., T1005 
uploads,files,,,,Kazuar uploads files from a specified directory to the C2 server., T1005 
specified,directory,,,,Kazuar uploads files from a specified directory to the C2 server., T1005 
gathered,information files,,,,Ke3chang gathered information and files from local directories for exfiltration., T1005 
collected,"Office , PDF , HWP documents",,,,"Kimsuky has collected Office, PDF, and HWP documents from its victims.", T1005 
download,files,send back server,,,Koadic can download files off the target system to send back to the server., T1005 
,,back server,,,Koadic can download files off the target system to send back to the server., T1005 
saves,information gathered victim,file uploaded one 10 C2 servers,,,Lazarus Group malware IndiaIndia saves information gathered about the victim to a file that is uploaded to one of its 10 C2 servers., T1005 
gathered,information,,,,Lazarus Group malware IndiaIndia saves information gathered about the victim to a file that is uploaded to one of its 10 C2 servers., T1005 
uploaded,file,one 10 C2 servers,,,Lazarus Group malware IndiaIndia saves information gathered about the victim to a file that is uploaded to one of its 10 C2 servers., T1005 
specified,directories,,,,"Lazarus Group malware RomeoDelta copies specified directories from the victim's machine, then archives and encrypts the directories before uploading to its C2 server.", T1005 
encrypts,directories,,,,"Lazarus Group malware RomeoDelta copies specified directories from the victim's machine, then archives and encrypts the directories before uploading to its C2 server.", T1005 
,,C2 server,,,"Lazarus Group malware RomeoDelta copies specified directories from the victim's machine, then archives and encrypts the directories before uploading to its C2 server.", T1005 
collect,files,,,,LightNeuron can collect files from a local system., T1005 
creates,backdoor remote attackers obtain data local systems,,,,Linfo creates a backdoor through which remote attackers can obtain data from local systems., T1005 
obtain,data,,backdoor,,Linfo creates a backdoor through which remote attackers can obtain data from local systems., T1005 
searches,files interest,,,,Machete searches the File system for files of interest., T1005 
collected,various files,,,,menuPass has collected various files from the compromised computers., T1005 
compromised,computers,,,,menuPass has collected various files from the compromised computers., T1005 
exfiltrates,data collected victim mobile device,,,,MobileOrder exfiltrates data collected from the victim mobile device., T1005 
collected,data,,,,MobileOrder exfiltrates data collected from the victim mobile device., T1005 
collect,data,,,,njRAT can collect data from a local system., T1005 
creates,backdoor remote attackers retrieve files,,,,Pasam creates a backdoor through which remote attackers can retrieve files., T1005 
retrieve,files,,backdoor,,Pasam creates a backdoor through which remote attackers can retrieve files., T1005 
collected,files,,,,Patchwork collected and exfiltrated files from the infected system., T1005 
exfiltrated,files,,,,Patchwork collected and exfiltrated files from the infected system., T1005 
collects,user files,,based predefined file extensions,,PinchDuke collects user files from the compromised host based on predefined file extensions., T1005 
user,files,,,,PinchDuke collects user files from the compromised host based on predefined file extensions., T1005 
compromised,host,,,,PinchDuke collects user files from the compromised host based on predefined file extensions., T1005 
,,,,,PinchDuke collects user files from the compromised host based on predefined file extensions., T1005 
creates,backdoor remote attackers steal system information,,,,PoisonIvy creates a backdoor through which remote attackers can steal system information., T1005 
steal,system information,,backdoor,,PoisonIvy creates a backdoor through which remote attackers can steal system information., T1005 
contains,"collection Exfiltration modules access data local files , volumes , processes",,,,"PowerSploit contains a collection of Exfiltration modules that can access data from local files, volumes, and processes.", T1005 
access,"data local files , volumes , processes",,,,"PowerSploit contains a collection of Exfiltration modules that can access data from local files, volumes, and processes.", T1005 
upload,files,,,,POWERSTATS can upload files from compromised hosts., T1005 
compromised,hosts,,,,POWERSTATS can upload files from compromised hosts., T1005 
searches,local system,,,,Proxysvc searches the local system and gathers data., T1005 
gathers,data,,,,Proxysvc searches the local system and gathers data., T1005 
scrapes,memory properly formatted payment card data,,,,PUNCHTRACK scrapes memory for properly formatted payment card data., T1005 
formatted,payment card data,,properly,,PUNCHTRACK scrapes memory for properly formatted payment card data., T1005 
parses,dumped files,,,,"RawPOS dumps memory from specific processes on a victim system, parses the dumped files, and scrapes them for credit card data.", T1005 
dumped,files,,,,"RawPOS dumps memory from specific processes on a victim system, parses the dumped files, and scrapes them for credit card data.", T1005 
scrapes,,,,,"RawPOS dumps memory from specific processes on a victim system, parses the dumped files, and scrapes them for credit card data.", T1005 
,,,,,Rover searches for files on local drives based on a predefined list of file extensions., T1005 
,,,,,Rover searches for files on local drives based on a predefined list of file extensions., T1005 
collected,data,,,,"Soft Cell collected data from the victim's local system, including password hashes from the SAM hive in the Registry.", T1005 
including,password hashes SAM hive Registry,,,,"Soft Cell collected data from the victim's local system, including password hashes from the SAM hive in the Registry.", T1005 
gathers,data,,,,Stealth Falcon malware gathers data from the local victim system., T1005 
ran,command compile archive file types interest victim user 's directories,,,,Threat Group-3390 ran a command to compile an archive of file types of interest from the victim user's directories., T1005 
compile,archive file types interest victim user 's directories,,,,Threat Group-3390 ran a command to compile an archive of file types of interest from the victim user's directories., T1005 
collects,local files information,,,,TrickBot collects local files and information from the victim?õ????s local machine., T1005 
upload,files,,,,Turla RPC backdoors can upload files from victim machines., T1005 
collected,files,,,,"Ursnif has collected files from victim machines, including certificates and cookies.", T1005 
including,certificates cookies,,,,"Ursnif has collected files from victim machines, including certificates and cookies.", T1005 
collects,yty,,,,"yty collects files with the following extension   ,  x,  ,  ,  x,  ,  x,  m,  ,  ,  m,  ,  ,  ,   and sends them back to the C2 server.", T1005 
following,extension,,,,"yty collects files with the following extension   ,  x,  ,  ,  x,  ,  x,  m,  ,  ,  m,  ,  ,  ,   and sends them back to the C2 server.", T1005 
sends,,back C2 server,,,"yty collects files with the following extension   ,  x,  ,  ,  x,  ,  x,  m,  ,  ,  m,  ,  ,  ,   and sends them back to the C2 server.", T1005 
starts,,,,,"When it first starts, BADNEWS crawls the victim's mapped drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1039 
crawls,victim 's mapped drives,,,,"When it first starts, BADNEWS crawls the victim's mapped drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1039 
mapped,drives,,,,"When it first starts, BADNEWS crawls the victim's mapped drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1039 
collects,BADNEWS,,,,"When it first starts, BADNEWS crawls the victim's mapped drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1039 
following,extension,,,,"When it first starts, BADNEWS crawls the victim's mapped drives and collects documents with the following extension   ,  x,  ,  ,  x, and  .", T1039 
exfiltrated,files stolen file shares,,,,BRONZE BUTLER has exfiltrated files stolen from file shares., T1039 
stolen,files,,,,BRONZE BUTLER has exfiltrated files stolen from file shares., T1039 
steals,user files,,file extensions keywords match predefined list,,CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list., T1039 
user,files,,,,CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list., T1039 
shared,drives,,,,CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list., T1039 
match,predefined list,,,,CosmicDuke steals user files from network shared drives with file extensions and keywords that match a predefined list., T1039 
collected,data,,mounting network shares net use using Robocopy transfer data,,menuPass has collected data from remote systems by mounting network shares with net use and using Robocopy to transfer data., T1039 
mounting,network shares net use,,,,menuPass has collected data from remote systems by mounting network shares with net use and using Robocopy to transfer data., T1039 
using,Robocopy,transfer data,,,menuPass has collected data from remote systems by mounting network shares with net use and using Robocopy to transfer data., T1039 
transfer,data,,,,menuPass has collected data from remote systems by mounting network shares with net use and using Robocopy to transfer data., T1039 
extracted,Word documents,,,,Sowbug extracted Word documents from a file server on a victim network., T1039 
,,,,,An APT28 backdoor may collect the entire contents of an inserted USB device., T1025 
collect,entire contents inserted USB device,,,,An APT28 backdoor may collect the entire contents of an inserted USB device., T1025 
inserted,USB device,,,,An APT28 backdoor may collect the entire contents of an inserted USB device., T1025 
copies,BADNEWS,,,,BADNEWS copies files with certain extensions from USB devices toa predefined directory., T1025 
predefined,directory,,,,BADNEWS copies files with certain extensions from USB devices toa predefined directory., T1025 
steals,user files,,file extensions keywords match predefined list,,CosmicDuke steals user files from removable media with file extensions and keywords that match a predefined list., T1025 
user,files,,,,CosmicDuke steals user files from removable media with file extensions and keywords that match a predefined list., T1025 
match,predefined list,,,,CosmicDuke steals user files from removable media with file extensions and keywords that match a predefined list., T1025 
contains,module collect data removable drives,,,,Crimson contains a module to collect data from removable drives., T1025 
collect,data,,,,Crimson contains a module to collect data from removable drives., T1025 
copies,,staging area,,,FLASHFLOOD searches for interesting files   on removable media and copies them to a staging area., T1025 
copied,The default file types,,,,The default file types copied would include data copied to the drive by SPACESHIP., T1025 
,,,,,The default file types copied would include data copied to the drive by SPACESHIP., T1025 
include,data copied drive SPACESHIP,,,,The default file types copied would include data copied to the drive by SPACESHIP., T1025 
copied,data,,SPACESHIP,,The default file types copied would include data copied to the drive by SPACESHIP., T1025 
steal,data,,,,"A Gamaredon Group file stealer has the capability to steal data from newly connected logical volumes on a system, including USB drives.", T1025 
connected,logical volumes,,,,"A Gamaredon Group file stealer has the capability to steal data from newly connected logical volumes on a system, including USB drives.", T1025 
including,USB drives,,,,"A Gamaredon Group file stealer has the capability to steal data from newly connected logical volumes on a system, including USB drives.", T1025 
steals,files based extension list,,,,GravityRAT steals files based on an extension list if a USB drive is connected to the system., T1025 
based,files,,,,GravityRAT steals files based on an extension list if a USB drive is connected to the system., T1025 
connected,USB drive,system,,,GravityRAT steals files based on an extension list if a USB drive is connected to the system., T1025 
copies,files,,,,Machete copies files from newly inserted drives., T1025 
inserted,drives,,,,Machete copies files from newly inserted drives., T1025 
find,files fixed removable drives,,,,"Machete had a module in its malware to find, encrypt, and upload files from fixed and removable drives.", T1025 
upload,files,,,,"Machete had a module in its malware to find, encrypt, and upload files from fixed and removable drives.", T1025 
fixed,drives,,,,"Machete had a module in its malware to find, encrypt, and upload files from fixed and removable drives.", T1025 
contains,Prikormka,,,,Prikormka contains a module that collects documents with certain extensions from removable media or fixed drives connected via USB., T1025 
collects,module,,,,Prikormka contains a module that collects documents with certain extensions from removable media or fixed drives connected via USB., T1025 
fixed,drives,,,,Prikormka contains a module that collects documents with certain extensions from removable media or fixed drives connected via USB., T1025 
connected,fixed drives,,via USB,,Prikormka contains a module that collects documents with certain extensions from removable media or fixed drives connected via USB., T1025 
collects,documents,,,,Remsec has a package that collects documents from any inserted USB sticks., T1025 
inserted,USB sticks,,,,Remsec has a package that collects documents from any inserted USB sticks., T1025 
,,,,,Rover searches for files on attached removable drives based on a predefined list of file extensions every five seconds., T1025 
attached,removable drives,,,,Rover searches for files on attached removable drives based on a predefined list of file extensions every five seconds., T1025 
,,,,,Rover searches for files on attached removable drives based on a predefined list of file extensions every five seconds., T1025 
collect,files,,,,Turla RPC backdoors can collect files from USB thumb drives., T1025 
inserted,removable media device,,,,"Once a removable media device is inserted back into the first victim, USBStealer collects data from it that was exfiltrated from a second victim.", T1025 
collects,data,,,,"Once a removable media device is inserted back into the first victim, USBStealer collects data from it that was exfiltrated from a second victim.", T1025 
exfiltrated,second victim,,,,"Once a removable media device is inserted back into the first victim, USBStealer collects data from it that was exfiltrated from a second victim.", T1025 
added,""" junk data """,encoded string,,,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm.", T1001 
encoded,string,,,,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm.", T1001 
preventing,trivial decoding,,without knowledge junk removal algorithm,,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm.", T1001 
,,,without knowledge junk removal algorithm,,"APT28 added ""junk data"" to each encoded string, preventing trivial decoding without knowledge of the junk removal algorithm.", T1001 
given,""" junk length "" value",,,,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire.", T1001 
,,,,,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire.", T1001 
tracked,""" junk length "" value",allow seamless communication prevent analysis command protocol wire,,,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire.", T1001 
allow,seamless communication,,,,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire.", T1001 
prevent,analysis command protocol wire,,,,"Each implant was given a ""junk length"" value when created, tracked by the controller software to allow seamless communication but prevent analysis of the command protocol on the wire.", T1001 
used,The Axiom group,,,,"The Axiom group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate.", T1001 
include,commingling legitimate traffic communications traffic network streams appear legitimate,,,,"The Axiom group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate.", T1001 
commingling,legitimate traffic,network streams appear legitimate,,,"The Axiom group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate.", T1001 
appear,legitimate,,,,"The Axiom group has used other forms of obfuscation, include commingling legitimate traffic with communications traffic so that network streams appear legitimate.", T1001 
used,Some malware,,,,Some malware that has been used by Axiom also uses steganography to hide communication in PNG image files., T1001 
uses,steganography,hide communication PNG image files,,,Some malware that has been used by Axiom also uses steganography to hide communication in PNG image files., T1001 
hide,communication,,,,Some malware that has been used by Axiom also uses steganography to hide communication in PNG image files., T1001 
use,standard Base64 + bzip2,,,,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers.", T1001 
use,standard Base64 + reverse XOR + RSA-2048,decrypt data received C2 servers,,,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers.", T1001 
reverse,XOR + RSA-2048,,,,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers.", T1001 
decrypt,data received C2 servers,,,,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers.", T1001 
received,data,,,,"Some Backdoor.Oldrea samples use standard Base64 + bzip2, and some use standard Base64 + reverse XOR + RSA-2048 to decrypt data received from C2 servers.", T1001 
encode,C2 communications,,custom system,,Newer variants of BACKSPACE will encode C2 communications with a custom system., T1001 
encrypting,C2 data,,,,"After encrypting C2 data, BADNEWS converts it into a hexadecimal representation and then encodes it into base64.", T1001 
converts,BADNEWS,,,,"After encrypting C2 data, BADNEWS converts it into a hexadecimal representation and then encodes it into base64.", T1001 
encodes,BADNEWS,,,,"After encrypting C2 data, BADNEWS converts it into a hexadecimal representation and then encodes it into base64.", T1001 
generates,false TLS handshake,,,,Bankshot generates a false TLS handshake using a public certificate to disguise C2 network communications., T1001 
using,public certificate,disguise C2 network communications,,,Bankshot generates a false TLS handshake using a public certificate to disguise C2 network communications., T1001 
disguise,C2 network communications,,,,Bankshot generates a false TLS handshake using a public certificate to disguise C2 network communications., T1001 
obfuscates,communications,,using Base64 encoding,,Cobian RAT obfuscates communications with the C2 server using Base64 encoding., T1001 
using,Base64 encoding,,,,Cobian RAT obfuscates communications with the C2 server using Base64 encoding., T1001 
,,,,,Cobian RAT obfuscates communications with the C2 server using Base64 encoding., T1001 
use,steganography,hide malicious code downloaded victim,,,Daserf can use steganography to hide malicious code downloaded to the victim., T1001 
hide,malicious code downloaded victim,,,,Daserf can use steganography to hide malicious code downloaded to the victim., T1001 
downloaded,malicious code,victim,,,Daserf can use steganography to hide malicious code downloaded to the victim., T1001 
making,Downdelph,,,,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.", T1001 
write,signatures,,,,"Downdelph inserts pseudo-random characters between each original character during encoding of C2 network requests, making it difficult to write signatures on them.", T1001 
operating,Duqu command control,,,,"When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file.", T1001 
uploads,data,controller,appending blank JPG file,,"When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file.", T1001 
appending,Duqu,blank JPG file,,,"When the Duqu command and control is operating over HTTP or HTTPS, Duqu uploads data to its controller by appending it to a blank JPG file.", T1001 
attempts,FakeM C2 traffic,,,,"FakeM C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo!", T1001 
evade,detection,,"resembling data generated legitimate messenger applications , MSN Yahoo",,"FakeM C2 traffic attempts to evade detection by resembling data generated by legitimate messenger applications, such as MSN and Yahoo!", T1001 
